llapp-backend  | INFO:     172.18.0.1:58538 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44702 - "POST /api/v1/diagnostics/sessions/5b7d5e9a-a490-4a5a-8584-250d7c672cd5/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44704 - "POST /api/v1/diagnostics/sessions/5b7d5e9a-a490-4a5a-8584-250d7c672cd5/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44710 - "GET /api/v1/learning-contract/current HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:44718 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44732 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44744 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43410 - "POST /api/v1/lesson-sessions/19331d86-1bb8-4e20-875a-f34647bdb8e0/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43412 - "POST /api/v1/lesson-sessions/19331d86-1bb8-4e20-875a-f34647bdb8e0/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43414 - "GET /api/v1/lesson-sessions/19331d86-1bb8-4e20-875a-f34647bdb8e0 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43420 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43432 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43448 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43450 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43464 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43478 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43484 - "POST /api/v1/diagnostics/sessions/5f67ce9f-f7f3-4afc-a156-a9284a3ca2b0/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43486 - "POST /api/v1/diagnostics/sessions/5f67ce9f-f7f3-4afc-a156-a9284a3ca2b0/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43490 - "POST /api/v1/diagnostics/sessions/5f67ce9f-f7f3-4afc-a156-a9284a3ca2b0/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43498 - "POST /api/v1/diagnostics/sessions/5f67ce9f-f7f3-4afc-a156-a9284a3ca2b0/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43510 - "POST /api/v1/diagnostics/sessions/5f67ce9f-f7f3-4afc-a156-a9284a3ca2b0/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43514 - "GET /api/v1/learning-contract/current HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:43530 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43542 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43548 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43560 - "POST /api/v1/lesson-sessions/db6c00cd-19ae-4986-86fa-75d22c2aeb6e/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43570 - "POST /api/v1/lesson-sessions/db6c00cd-19ae-4986-86fa-75d22c2aeb6e/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43574 - "GET /api/v1/lesson-sessions/db6c00cd-19ae-4986-86fa-75d22c2aeb6e HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43576 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:43586 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:42758 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55644 - "GET /api/v1/health HTTP/1.1" 200 OK
