llapp-backend  | INFO:     172.18.0.1:45970 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34110 - "POST /api/v1/diagnostics/sessions/b35f3fd4-4df4-4419-a47f-f12df78d455d/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34114 - "POST /api/v1/diagnostics/sessions/b35f3fd4-4df4-4419-a47f-f12df78d455d/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34126 - "POST /api/v1/diagnostics/sessions/b35f3fd4-4df4-4419-a47f-f12df78d455d/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34130 - "POST /api/v1/diagnostics/sessions/b35f3fd4-4df4-4419-a47f-f12df78d455d/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34146 - "POST /api/v1/diagnostics/sessions/b35f3fd4-4df4-4419-a47f-f12df78d455d/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34154 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34164 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34176 - "POST /api/v1/lesson-sessions/70bc7261-b8b8-489f-af0b-ce14db7369ee/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34178 - "POST /api/v1/lesson-sessions/70bc7261-b8b8-489f-af0b-ce14db7369ee/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34192 - "GET /api/v1/lesson-sessions/70bc7261-b8b8-489f-af0b-ce14db7369ee HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34202 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:34218 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:55346 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55354 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55356 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55368 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55380 - "POST /api/v1/diagnostics/sessions/9e510b6e-2bf2-456c-85e0-2d58d3e4c442/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55394 - "POST /api/v1/diagnostics/sessions/9e510b6e-2bf2-456c-85e0-2d58d3e4c442/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55404 - "POST /api/v1/diagnostics/sessions/9e510b6e-2bf2-456c-85e0-2d58d3e4c442/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55408 - "POST /api/v1/diagnostics/sessions/9e510b6e-2bf2-456c-85e0-2d58d3e4c442/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55410 - "POST /api/v1/diagnostics/sessions/9e510b6e-2bf2-456c-85e0-2d58d3e4c442/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55420 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55422 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55436 - "POST /api/v1/lesson-sessions/8723cbe9-934d-4769-978d-d94822d4bb2d/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55450 - "POST /api/v1/lesson-sessions/8723cbe9-934d-4769-978d-d94822d4bb2d/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55454 - "GET /api/v1/lesson-sessions/8723cbe9-934d-4769-978d-d94822d4bb2d HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:55456 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50666 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:50668 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50676 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50684 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50698 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50712 - "POST /api/v1/diagnostics/sessions/9a4124b8-28ab-4ee4-a21b-d6e35ec9e0e8/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50720 - "POST /api/v1/diagnostics/sessions/9a4124b8-28ab-4ee4-a21b-d6e35ec9e0e8/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50726 - "POST /api/v1/diagnostics/sessions/9a4124b8-28ab-4ee4-a21b-d6e35ec9e0e8/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50738 - "POST /api/v1/diagnostics/sessions/9a4124b8-28ab-4ee4-a21b-d6e35ec9e0e8/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50748 - "POST /api/v1/diagnostics/sessions/9a4124b8-28ab-4ee4-a21b-d6e35ec9e0e8/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50764 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50776 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50778 - "POST /api/v1/lesson-sessions/d35d7457-f967-4971-b74c-88d305b21d3e/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50788 - "POST /api/v1/lesson-sessions/d35d7457-f967-4971-b74c-88d305b21d3e/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50804 - "GET /api/v1/lesson-sessions/d35d7457-f967-4971-b74c-88d305b21d3e HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50810 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50826 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:50830 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50838 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50840 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50846 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50848 - "POST /api/v1/diagnostics/sessions/2b3aa212-7fd3-4bbc-b7f9-9bb97972f5bd/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50852 - "POST /api/v1/diagnostics/sessions/2b3aa212-7fd3-4bbc-b7f9-9bb97972f5bd/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50862 - "POST /api/v1/diagnostics/sessions/2b3aa212-7fd3-4bbc-b7f9-9bb97972f5bd/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50870 - "POST /api/v1/diagnostics/sessions/2b3aa212-7fd3-4bbc-b7f9-9bb97972f5bd/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50876 - "POST /api/v1/diagnostics/sessions/2b3aa212-7fd3-4bbc-b7f9-9bb97972f5bd/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50888 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50900 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50910 - "POST /api/v1/lesson-sessions/0eabaa16-5759-467b-8251-023f7d84cec1/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50920 - "POST /api/v1/lesson-sessions/0eabaa16-5759-467b-8251-023f7d84cec1/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50924 - "GET /api/v1/lesson-sessions/0eabaa16-5759-467b-8251-023f7d84cec1 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50938 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:50950 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:60310 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60316 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60320 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60328 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60328 - "POST /api/v1/identity/login HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60342 - "POST /api/v1/identity/login HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:60344 - "GET /api/v1/identity/me HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60350 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60350 - "POST /api/v1/identity/register HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:60358 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60362 - "GET /api/v1/learner-profile/me HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60372 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60372 - "GET /api/v1/learner-profile/me HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60380 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:60380 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions/aed8c61b-fd47-4431-89df-1bd17a7bdcf6/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions/aed8c61b-fd47-4431-89df-1bd17a7bdcf6/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions/aed8c61b-fd47-4431-89df-1bd17a7bdcf6/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions/aed8c61b-fd47-4431-89df-1bd17a7bdcf6/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51896 - "POST /api/v1/diagnostics/sessions/aed8c61b-fd47-4431-89df-1bd17a7bdcf6/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51910 - "POST /api/v1/diagnostics/sessions/edf3c395-51d5-406f-8712-cfcb991c57ff/responses HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:51920 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51920 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51920 - "GET /api/v1/diagnostics/sessions/38d21b98-ff6b-4e6d-97a1-61e0426aff49 HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:51934 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51938 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51938 - "GET /api/v1/lesson-sessions/ff90fd86-68a9-4969-bbb3-806e7f08cdae HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51944 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51944 - "POST /api/v1/lesson-sessions/3c6e1475-2842-4f87-b655-0414ed17a055/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51958 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51958 - "POST /api/v1/lesson-sessions/61c66ce7-4e31-4489-8585-8ef8918bd6b1/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51958 - "POST /api/v1/lesson-sessions/61c66ce7-4e31-4489-8585-8ef8918bd6b1/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51960 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51960 - "POST /api/v1/lesson-sessions/cf5225ce-210d-49b2-8bdb-c017630aa4a4/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51960 - "POST /api/v1/lesson-sessions/cf5225ce-210d-49b2-8bdb-c017630aa4a4/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51968 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51968 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51968 - "GET /api/v1/lesson-sessions/751ef2fa-2d60-4bea-840f-a6eb1cc76710 HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:51970 - "GET /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51980 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:51994 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52002 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:52008 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52008 - "POST /api/v1/lesson-sessions/81ff7a47-5bfc-4ff0-93a2-f0764a91dcb4/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52008 - "POST /api/v1/lesson-sessions/81ff7a47-5bfc-4ff0-93a2-f0764a91dcb4/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52018 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52018 - "POST /api/v1/diagnostics/sessions/00f6b959-4079-4a06-8374-1f3361f4af01/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:52018 - "POST /api/v1/diagnostics/sessions/00f6b959-4079-4a06-8374-1f3361f4af01/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37576 - "POST /api/v1/diagnostics/sessions/64b3e4a3-dd00-4e6c-9884-760f22e9ae6e/complete HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:37586 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37586 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37586 - "GET /api/v1/learner-profile/me HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37592 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37592 - "POST /api/v1/lesson-sessions/52afbc6b-96c8-46bd-8cf6-727d47930b06/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37600 - "POST /api/v1/lesson-sessions HTTP/1.1" 422 Unprocessable Entity
llapp-backend  | INFO:     172.18.0.1:37602 - "GET /api/v1/lesson-sessions/c7daf27c-9b14-47b5-bb86-2f6c043ffd0c HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions/cc9f006a-167c-4daa-b0a5-cd75ecef5740/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions/cc9f006a-167c-4daa-b0a5-cd75ecef5740/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions/cc9f006a-167c-4daa-b0a5-cd75ecef5740/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions/cc9f006a-167c-4daa-b0a5-cd75ecef5740/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37606 - "POST /api/v1/diagnostics/sessions/cc9f006a-167c-4daa-b0a5-cd75ecef5740/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37622 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37622 - "POST /api/v1/lesson-sessions/4a06c8ad-7b5e-4060-b907-50331f8cbc1d/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37622 - "POST /api/v1/lesson-sessions/4a06c8ad-7b5e-4060-b907-50331f8cbc1d/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37634 - "GET /api/v1/lesson-sessions/f7581c65-a815-4141-8008-ac7e4f3278ec HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:37644 - "GET /api/v1/lesson-sessions/e2bdd123-662e-47b9-b1a4-74bb8fc24269 HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:37654 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37654 - "POST /api/v1/lesson-sessions/110d8480-d5eb-44ca-88c4-23be22d23ba7/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37654 - "POST /api/v1/lesson-sessions/110d8480-d5eb-44ca-88c4-23be22d23ba7/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37654 - "GET /api/v1/lesson-sessions/110d8480-d5eb-44ca-88c4-23be22d23ba7 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37664 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37664 - "POST /api/v1/lesson-sessions/5ceeb1f6-0c6e-47e2-affc-d8a22bf9a0cd/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37664 - "POST /api/v1/lesson-sessions/5ceeb1f6-0c6e-47e2-affc-d8a22bf9a0cd/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37664 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37670 - "GET /api/v1/lesson-sessions/48ec6998-bf87-4bad-994f-99a81998450c HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:37674 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37674 - "POST /api/v1/lesson-sessions/ee9e5eb4-0014-4dbe-8a62-e54b9d6539a9/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37674 - "POST /api/v1/lesson-sessions/ee9e5eb4-0014-4dbe-8a62-e54b9d6539a9/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37674 - "POST /api/v1/lesson-sessions/ee9e5eb4-0014-4dbe-8a62-e54b9d6539a9/process HTTP/1.1" 409 Conflict
llapp-backend  | INFO:     172.18.0.1:51770 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57540 - "OPTIONS /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57540 - "GET /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57550 - "OPTIONS /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57554 - "OPTIONS /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57554 - "GET /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:57550 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:45084 - "GET /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:45092 - "OPTIONS /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:45084 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "OPTIONS /api/v1/identity/login HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "POST /api/v1/identity/login HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "OPTIONS /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "OPTIONS /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48778 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "OPTIONS /api/v1/identity/login HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "POST /api/v1/identity/login HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "OPTIONS /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "OPTIONS /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:37564 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:56210 - "OPTIONS /api/v1/diagnostics/sessions/c4cae34c-54bb-4c14-bdf6-d571bfbff4cc/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:56210 - "POST /api/v1/diagnostics/sessions/c4cae34c-54bb-4c14-bdf6-d571bfbff4cc/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:48234 - "POST /api/v1/diagnostics/sessions/c4cae34c-54bb-4c14-bdf6-d571bfbff4cc/responses HTTP/1.1" 200 OK
